Title,Link,Location,Price,Information,Image,Brand
Jeep Compass,https://www.olx.in/item/cars-c84-used-jeep-compass-in-new-hubli-hubballi-iid-1817007811,New Hubli3 days ago,"₹ 12,25,000","2019 - 150,000 km",https://apollo.olx.in:443/v1/files/u3owbbdogofl1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-balongi-mohali-iid-1815659678,Balongi3 Aug,"₹ 12,95,000","2023 - 45,000 km",https://apollo.olx.in:443/v1/files/la3uodiexh1w3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Brezza,https://www.olx.in/item/cars-c84-used-maruti-suzuki-brezza-in-jts-thottada-kannur-iid-1809823307,JTS-Thottada11 Jun,"₹ 8,60,000","2018 - 70,000 km",https://apollo.olx.in:443/v1/files/hqisir3b3lkr1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
MG Hector,https://www.olx.in/item/cars-c84-used-mg-hector-in-howrah-ac-market-howrah-iid-1815781623,Howrah AC MarketToday,"₹ 17,39,000","2023 - 6,000 km",https://apollo.olx.in:443/v1/files/qykc41rqmliq-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Ertiga,https://www.olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-tilak-nagar-delhi-iid-1817653529,Tilak NagarToday,"₹ 8,45,000","2020 - 75,000 km",https://apollo.olx.in:443/v1/files/7c3mguotqcqf1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Ford Ecosport,https://www.olx.in/item/cars-c84-used-ford-ecosport-in-sector-27d-faridabad-iid-1818083396,Sector 27DToday,"₹ 6,61,000","2018 - 34,269 km",https://apollo.olx.in:443/v1/files/m0a0valu6m59-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Baleno,https://www.olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-raja-garden-delhi-iid-1818083391,Raja GardenToday,"₹ 6,97,000","2022 - 54,554 km",https://apollo.olx.in:443/v1/files/y988p11vsq3k3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Ford Ecosport,https://www.olx.in/item/cars-c84-used-ford-ecosport-in-garhi-ghaziabad-iid-1817409218,GarhiToday,"₹ 4,36,500","2016 - 57,523 km",https://apollo.olx.in:443/v1/files/vp4cff978h3p3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Alto-K10,https://www.olx.in/item/cars-c84-used-maruti-suzuki-alto-k10-in-adoor-kerala-iid-1817492792,AdoorToday,"₹ 4,20,000","2018 - 60,000 km",https://apollo.olx.in:443/v1/files/eyeq3sh7229z1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-karol-bagh-delhi-iid-1815724189,Karol BaghToday,"₹ 7,10,000","2018 - 65,000 km",https://apollo.olx.in:443/v1/files/dr26wmxa174o-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
BMW 3 Series,https://www.olx.in/item/cars-c84-used-bmw-3-series-in-swargate-pune-iid-1817226344,SwargateToday,"₹ 8,40,000","2009 - 66,666 km",https://apollo.olx.in:443/v1/files/rpvv6f93mhml3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Skoda New Kodiaq,https://www.olx.in/item/cars-c84-used-skoda-new-kodiaq-in-fatehpur-ahmedabad-iid-1818083222,FatehpurToday,"₹ 28,21,000","2023 - 38,000 km",https://apollo.olx.in:443/v1/files/c4aoj9ik1o3t1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mercedes-Benz E-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-e-class-in-kolkata-gpo-kolkata-iid-1818083335,Kolkata GPOToday,"₹ 24,50,000","2017 - 33,000 km",https://apollo.olx.in:443/v1/files/55wc1okrj4g3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Force Motors FM Trax Cruiser,https://www.olx.in/item/cars-c84-used-force-motors-fm-trax-cruiser-in-gandhipuram-coimbatore-iid-1818083332,GandhipuramToday,"₹ 5,25,000","2011 - 65,000 km",https://apollo.olx.in:443/v1/files/tgxyaj5oy1zl3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Volkswagen Polo,https://www.olx.in/item/cars-c84-used-volkswagen-polo-in-basavanahalli-chikkamagaluru-iid-1818083315,BasavanahalliToday,"₹ 3,80,000","2013 - 89,000 km",https://apollo.olx.in:443/v1/files/dvrv9vmyosco1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
