Title,Link,Location,Price,Information,Image,Brand
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-netaji-subhash-place-delhi-iid-1816563783,Netaji Subhash Place12 Aug,"₹ 6,75,000","2017 - 67,000 km",https://apollo.olx.in:443/v1/files/nopb391ee6yv1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Renault Triber,https://www.olx.in/item/cars-c84-used-renault-triber-in-mavdi-rajkot-iid-1813684963,Mavdi30 Jul,"₹ 6,65,000","2023 - 27,000 km",https://apollo.olx.in:443/v1/files/osq0llxcogur1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Kia Seltos,https://www.olx.in/item/cars-c84-used-kia-seltos-in-majiwada-thane-iid-1806555540,Majiwada11 Jul,"₹ 14,50,000","2021 - 36,520 km",https://apollo.olx.in:443/v1/files/82af7dxzph4f-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Celerio,https://www.olx.in/item/cars-c84-used-maruti-suzuki-celerio-in-chakrasenpur-babugarh-babugarh-iid-1818084726,Chakrasenpur BabugarhToday,"₹ 3,00,000","2018 - 100,000 km",https://apollo.olx.in:443/v1/files/7vsc1ra8gt1o3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Ford Free Style,https://www.olx.in/item/cars-c84-used-ford-free-style-in-science-city-ahmedabad-iid-1817432878,Science CityToday,"₹ 4,25,000","2018 - 72,000 km",https://apollo.olx.in:443/v1/files/4padi3t14py61-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Celerio-X,https://www.olx.in/item/cars-c84-used-maruti-suzuki-celerio-x-in-korattur-agraharam-nagar-chennai-iid-1818084729,Korattur Agraharam NagarToday,"₹ 3,50,000","2015 - 54,000 km",https://apollo.olx.in:443/v1/files/f6lui8nhhjvr-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mercedes-Benz CLA,https://www.olx.in/item/cars-c84-used-mercedes-benz-cla-in-velacheri-chennai-iid-1813580200,VelacheriToday,"₹ 22,95,000","2019 - 47,000 km",https://apollo.olx.in:443/v1/files/jnv1q5yegykw1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mahindra XUV500,https://www.olx.in/item/cars-c84-used-mahindra-xuv500-in-rohini-delhi-iid-1816752362,RohiniToday,"₹ 7,85,000","2019 - 68,000 km",https://apollo.olx.in:443/v1/files/ehyv8jb4cfnk1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Eeco,https://www.olx.in/item/cars-c84-used-maruti-suzuki-eeco-in-lb-nagar-hyderabad-iid-1818084719,LB NagarToday,"₹ 4,60,000","2018 - 55,000 km",https://apollo.olx.in:443/v1/files/d4l9bcmab1qu2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Honda City,https://www.olx.in/item/cars-c84-used-honda-city-in-science-city-ahmedabad-iid-1817437771,Science CityToday,"₹ 6,35,000","2017 - 58,000 km",https://apollo.olx.in:443/v1/files/024vr2iaj3j02-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Fortuner,https://www.olx.in/item/cars-c84-used-toyota-fortuner-in-rajouri-garden-delhi-iid-1818084695,Rajouri GardenToday,"₹ 21,00,000","2017 - 135,000 km",https://apollo.olx.in:443/v1/files/twg2kxsgy5fv-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Honda Brio,https://www.olx.in/item/cars-c84-used-honda-brio-in-rohini-delhi-iid-1816344428,RohiniToday,"₹ 3,25,000","2015 - 67,000 km",https://apollo.olx.in:443/v1/files/ja36rtnkd3af3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Grand i10 Nios,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-nios-in-science-city-ahmedabad-iid-1817862238,Science CityToday,"₹ 5,50,000","2020 - 64,000 km",https://apollo.olx.in:443/v1/files/as33hazh1xzn1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Honda Amaze,https://www.olx.in/item/cars-c84-used-honda-amaze-in-avadi-chennai-iid-1813781689,AvadiToday,"₹ 5,65,000","2018 - 129,000 km",https://apollo.olx.in:443/v1/files/c9p82z8n09ma2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
