,Title,Link,Location,Price,Image,Brand,Year,Distance Covered
0,Jeep Compass,https://www.olx.in/item/cars-c84-used-jeep-compass-in-new-hubli-hubballi-iid-1817007811,New Hubli,1225000,https://apollo.olx.in:443/v1/files/u3owbbdogofl1-IN/image;s=150x0;q=50;f=webp;,jeep,2019,150000.0
1,Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-balongi-mohali-iid-1815659678,Balongi,1295000,https://apollo.olx.in:443/v1/files/la3uodiexh1w3-IN/image;s=150x0;q=50;f=webp;,hyundai,2023,45000.0
2,Maruti Suzuki Brezza,https://www.olx.in/item/cars-c84-used-maruti-suzuki-brezza-in-jts-thottada-kannur-iid-1809823307,JTS-Thottada,860000,https://apollo.olx.in:443/v1/files/hqisir3b3lkr1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki,2018,70000.0
3,MG Hector,https://www.olx.in/item/cars-c84-used-mg-hector-in-howrah-ac-market-howrah-iid-1815781623,Howrah AC Market,1739000,https://apollo.olx.in:443/v1/files/qykc41rqmliq-IN/image;s=150x0;q=50;f=webp;,mg,2023,6000.0
4,Maruti Suzuki Ertiga,https://www.olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-tilak-nagar-delhi-iid-1817653529,Tilak Nagar,845000,https://apollo.olx.in:443/v1/files/7c3mguotqcqf1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki,2020,75000.0
5,Ford Ecosport,https://www.olx.in/item/cars-c84-used-ford-ecosport-in-sector-27d-faridabad-iid-1818083396,Sector 27D,661000,https://apollo.olx.in:443/v1/files/m0a0valu6m59-IN/image;s=150x0;q=50;f=webp;,ford,2018,34269.0
6,Maruti Suzuki Baleno,https://www.olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-raja-garden-delhi-iid-1818083391,Raja Garden,697000,https://apollo.olx.in:443/v1/files/y988p11vsq3k3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki,2022,54554.0
7,Ford Ecosport,https://www.olx.in/item/cars-c84-used-ford-ecosport-in-garhi-ghaziabad-iid-1817409218,Garhi,436500,https://apollo.olx.in:443/v1/files/vp4cff978h3p3-IN/image;s=150x0;q=50;f=webp;,ford,2016,57523.0
8,Maruti Suzuki Alto-K10,https://www.olx.in/item/cars-c84-used-maruti-suzuki-alto-k10-in-adoor-kerala-iid-1817492792,Adoor,420000,https://apollo.olx.in:443/v1/files/eyeq3sh7229z1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki,2018,60000.0
9,Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-karol-bagh-delhi-iid-1815724189,Karol Bagh,710000,https://apollo.olx.in:443/v1/files/dr26wmxa174o-IN/image;s=150x0;q=50;f=webp;,hyundai,2018,65000.0
